radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
300.185443,0.436,44.342465,0.43,4,14.512,0.055,15.19,0.03,14.788,0.065,14.294,0.018,14.166,0.043
300.186644,0.652,44.357031,1.219,3,15.816,-0,16.758,-0.072,16.272,-0,15.524,-0,15.173,-0
300.18781,0.35,44.520831,0.389,4,13.92,0.037,15.045,0.033,14.443,0.047,13.57,0.034,13.259,0.07
300.187906,0.533,44.291699,0.897,4,14.712,0.084,15.267,0.026,14.935,0.034,14.577,0.127,14.489,0.08
300.187998,1.128,44.441029,1.212,3,16.187,0.105,17.066,0.016,16.516,0.017,15.986,0.076,NA,NA
300.188074,0.804,44.42041,0.394,4,14.918,-0,16.767,-0.069,15.849,0.093,14.172,0.054,13.348,-0
300.189827,0.485,44.655944,0.551,4,14.697,0.04,16.532,0.024,15.579,0.067,14.032,0.03,12.476,0.08
300.192292,0.892,44.343826,0.917,5,14.219,0.087,14.64,0.029,14.347,-0,14.108,0.047,14.011,0.037
300.192452,0.766,44.343868,0.907,2,NA,NA,NA,NA,14.41,-0.007,NA,NA,NA,NA
300.193113,0.542,44.281003,0.665,4,13.862,0.04,14.255,0.045,13.982,0.054,13.736,0.087,13.598,0.034
300.193122,0.307,44.551848,0.423,5,12.565,0.081,14.442,0.046,13.482,0.076,11.93,0.038,11.207,0.054
300.193998,0.738,44.410467,0.502,5,13.764,0.033,14.164,0.046,13.887,0.046,13.698,0.059,13.704,0.037
300.194668,0.458,44.539877,0.678,4,14.939,0.031,15.532,0.046,15.162,0.056,14.802,0.053,14.627,0.117
300.195705,0.33,44.612536,0.533,4,14.831,0.014,15.609,0.073,15.151,0.052,14.54,0.038,14.262,0.078
300.198451,0.351,44.483364,0.514,5,12.385,0.026,12.759,0.038,12.485,0.046,12.27,0.052,12.25,0.011
300.201899,0.513,44.59846,0.51,4,15.094,0.068,16.664,0.083,15.858,0.063,14.567,0.035,13.982,0.083
300.202571,0.865,44.389355,0.966,3,15.375,0.096,16.908,0.046,16.18,0.068,14.864,0.089,14.317,0.071
300.203214,0.654,44.235168,0.638,4,15.296,0.009,16.085,0.023,15.611,0.041,15.037,0.053,14.845,0.07
300.204303,0.67,44.536642,0.826,3,16.358,0.025,16.98,0.113,16.545,0.061,16.02,0.034,NA,NA
300.205495,0.674,44.366344,1.253,4,16.172,0.075,16.801,0.078,16.332,0.094,16.047,0.13,15.442,-0
300.208088,0.707,44.497868,0.657,4,16.196,0.026,17.047,0.138,16.58,0.058,15.855,0.056,NA,NA
300.209993,0.403,44.392364,0.744,4,13.973,0.035,14.779,0.032,14.314,0.052,13.729,0.028,13.568,0.076
300.211603,0.547,44.55564,0.466,4,14.846,0.044,15.492,0.041,15.124,0.01,14.628,0.01,14.492,0
300.21172,0.369,44.432438,0.325,5,12.314,0.031,12.746,0.04,12.457,0.044,12.222,0.055,12.212,0.084
300.212578,0.3,44.699849,0.538,4,12.772,0.036,13.396,0.05,13.006,0.053,12.579,0.036,12.428,0.06
300.212802,0.41,44.254003,0.65,4,15.194,0.079,15.957,0.033,15.512,0.038,14.956,0.022,14.816,0.19
300.212861,0.444,44.624922,0.574,4,14.908,0.066,15.705,0.054,15.271,0.03,14.666,0.028,14.456,0.088
300.213288,0.455,44.227183,0.408,5,13.254,0.058,13.787,0.036,13.464,0.047,13.105,0.064,13.069,0.101
300.213366,0.412,44.659198,0.327,5,13.084,0.059,14.807,0.045,13.933,0.072,12.52,0.019,11.859,0.053
300.213821,0.312,44.363146,0.658,4,14.982,0.044,15.633,0.039,15.239,0.047,14.774,0.044,14.538,-0
300.214551,0.836,44.466525,0.849,2,16.258,0.054,17.344,0.08,16.707,0.083,15.973,0.119,15.613,-0
300.218193,0.383,44.651782,0.756,4,15.398,0.073,16.965,0.208,16.088,0.066,14.722,0.014,14.196,0.097
300.219109,0.59,44.32157,1.503,4,16.003,0.194,16.492,0.078,16.241,-0,15.763,-0,NA,NA
300.219293,0.375,44.479572,0.561,4,14.063,0.041,14.932,0.033,14.418,0.043,13.813,0.054,13.583,0.011
300.219359,0.437,44.280745,0.46,2,NA,NA,NA,NA,16.629,-0,15.361,-0,14.808,-0.062
300.219391,0.414,44.407258,0.552,5,12.725,0.035,13.034,0.045,12.794,0.049,12.703,0.049,12.718,0.065
300.219571,0.377,44.262592,0.433,4,13.577,0.092,15.376,0.039,14.504,0.065,12.936,0.016,12.261,0.077
300.221384,0.259,44.637664,0.405,2,15.036,-0,16.225,-0,15.572,0.072,14.743,0.038,14.401,-0
300.221798,0.535,44.688713,0.683,4,15.03,0.069,15.724,0.059,15.28,0.103,14.749,0.045,14.505,0.102
300.222078,0.373,44.199953,0.517,4,15.364,0.041,16.334,0.049,15.796,0.026,15.033,0.041,14.775,-0
300.224971,0.767,44.335976,0.934,3,15.84,0.127,16.622,0.177,16.248,0.069,15.533,0.035,15.173,-0
300.2252,0.623,44.371145,0.779,3,16.25,-0,16.98,-0,16.467,0.076,15.967,0.084,NA,NA
