,REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex,isodate,decimalyear
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411521.709441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.238307,0.0,0.0,0.0,0.0,0,i,1263,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0,1890-06-03 05:01:35.702,1890.419751893151
3,420061551442725,7789.834,13911.03,-12.6405,301.56467599999996,44.457327,12.818046,0.17474800000000001,12.272219,0.14468599999999998,2411698.5392779997,113819.1,-11.7025,-12.8409,4.66,4072.528,2408.931,73.91,0.327,2e-05,10.27,0.005118,1.5319999999999998,0.0,13.8336,0.140621,1.195892,-0.076669,0.591,143663284,i,2351,153223,98,0,1349453824,81,79,68,57,41,34,25,11,56,0,1572,19,0,0,1,0,0,98,654,12.236811,0.13187000000000001,301.564948,44.457164,-11.6,-10.0,0,0,0.0007,0,1890-11-27 00:56:33.619,1890.904217199999
4,420061551442725,7566.799,14124.573,-12.912,301.564933,44.457113,12.911710000000001,0.11988900000000001,12.278767,0.13163,2411720.480699,146144.5,-11.4494,-13.1445,4.71,3779.798,1901.223,86.86,0.391,3.8e-05,14.09,0.00702,1.676,0.0,13.35963,0.16708399999999998,1.297118,-0.020444999999999998,0.597,143663284,i,2513,810087,98,128,1349453824,151,128,103,87,66,47,34,12,69,0,1621,19,0,0,2,0,16,98,673,12.226355,0.095669,301.564948,44.457164,-11.6,-10.0,0,0,0.0007,0,1890-12-18 23:32:12.394,1890.9643306821915
5,420061551442725,7893.226,14103.401000000002,-12.8653,301.565142,44.45705,13.022604,0.197528,12.339321,0.11552,2411746.448034,139997.3,-11.802999999999999,-12.9664,3.5,3624.7259999999997,2770.815,52.08,0.27,2.8999999999999997e-05,8.38,0.004181,1.611,0.0,14.072451000000001,0.10496400000000002,1.5404879999999999,-0.049177,0.735,143663284,i,2801,741969,98,0,1349451776,114,102,85,76,62,46,26,13,41,0,1622,19,0,0,2,0,0,98,673,12.339321,99.0,301.564948,44.457164,-11.6,-10.0,0,0,0.0007,0,1891-01-13 22:45:10.138,1891.0354740657538
7,420061551442725,3637.865,13166.537,-12.7924,301.564924,44.456996999999994,12.721743,0.191962,12.19852,0.167514,2412347.6066240002,130905.2,-11.582,-13.1585,4.69,4423.412,2053.18,-72.33,0.222,2.7000000000000002e-05,10.93,0.005442,2.7698,0.0,13.699357999999998,0.141322,1.331561,0.106999,0.402,143663284,i,6863,284135,98,128,1349453824,105,95,82,66,54,41,30,11,62,0,1460,19,0,0,3,0,17,98,1043,12.128579,0.129325,301.56494,44.457159000000004,-11.6,-10.0,0,0,0.0007,0,1892-09-06 02:33:32.314,1892.6806191912574
9,420061551442725,11124.451000000001,13394.114,-12.5276,301.56500800000003,44.457747,12.59068,0.13155799999999998,12.182884,0.12677,2412360.5902259997,102570.2,-11.674000000000001,-12.7251,3.53,4023.09,2756.244,-14.04,0.293,2.4e-05,9.32,0.004646,1.7065,0.0,12.802204,0.093523,1.052455,0.023672,0.408,143663284,i,7092,516785,98,128,1349451776,93,83,62,44,37,28,17,11,56,0,1531,19,0,0,1,0,16,98,658,12.182884,99.0,301.56494,44.457159000000004,-11.6,-10.0,0,0,0.0007,0,1892-09-19 02:09:55.526,1892.7160935136603
11,420061551442725,3668.6079999999997,12802.903,-12.5805,301.564959,44.457459,12.965733,0.168302,12.313091,0.09370099999999999,2412369.548073,107699.2,-11.6544,-12.6904,3.89,4051.6290000000004,2290.571,21.25,0.109,2.1e-05,8.34,0.004154,2.6677,0.0,12.677358,0.131147,0.858504,0.229814,0.402,143663284,i,7186,412131,98,8320,1349386240,82,75,72,61,51,43,30,14,66,0,1460,19,0,0,3,0,17,98,1029,12.313091,99.0,301.56494,44.457159000000004,-11.6,-10.0,0,0,0.0007,0,1892-09-28 01:09:13.507,1892.740568505464
12,420061551442725,10800.311000000002,12986.558,-13.0492,301.564915,44.457242,12.745414,0.125882,12.293888,99.0,2412371.523501,165829.7,-11.9421,-13.0855,3.5,3918.296,2777.5040000000004,25.78,0.083,3.3e-05,7.8,0.003887,1.4325,0.0,14.631704999999998,0.12131099999999999,1.352803,0.05405,0.39899999999999997,143663284,i,7203,797580,98,4224,1349451776,136,125,109,94,80,63,43,24,109,0,1480,19,0,0,1,0,1,98,638,12.293888,99.0,301.56494,44.457159000000004,-11.6,-10.0,0,0,0.0007,0,1892-09-30 00:33:50.486,1892.7459658497264
13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2412411.560604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.102157,0.0,0.0,0.0,0.0,0,i,7490,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2048,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0,1892-11-09 01:27:16.186,1892.85535684153
15,420061551442725,3496.9840000000004,12798.698999999999,-13.1106,301.564798,44.457155,12.504716,0.177819,12.149479,0.13216,2412672.696871,175492.4,-11.6042,-13.2122,3.5,4312.264,2072.855,-17.76,0.23800000000000002,3.5e-05,11.37,0.005657,2.7691,0.0,13.374763,0.13986700000000002,1.0601049999999999,-0.056463,0.39899999999999997,143663284,i,8962,297028,98,0,1349451776,142,135,120,108,94,73,56,19,117,0,1459,19,0,0,3,0,0,98,1028,12.149479,99.0,301.564936,44.457157,-11.6,-10.0,0,0,0.0007,0,1893-07-28 04:43:29.654,1893.570402386301
